PreGC,ln(PreGC),Gestation day,nPrenatal FA present,nPrenatal FA before,Maternal rank,Sex of the offspring,Year of birth,Gestation day,Day time,Mother ID
180.2105263,5.194,8,1.738,1.614,-1.070,-1.019,-0.439,-1.522,-1.692,Whi
135.2727273,4.907,10,1.732,1.597,-1.070,-1.019,-0.439,-1.480,0.507,Whi
164.4444444,5.103,14,1.721,1.559,-1.070,-1.019,-0.439,-1.395,-0.224,Whi
131.0344828,4.875,29,1.560,1.398,-1.070,-1.019,-0.439,-1.079,-1.082,Whi
142.2222222,4.957,60,0.968,1.086,-1.070,-1.019,-0.439,-0.424,0.221,Whi
256.6666667,5.548,69,0.762,0.973,-1.070,-1.019,-0.439,-0.234,1.581,Whi
88.16326531,4.479,77,0.557,0.860,-1.070,-1.019,-0.439,-0.065,0.106,Whi
173.2496075,5.155,82,0.462,0.782,-1.070,-1.019,-0.439,0.040,-0.653,Whi
108.1481481,4.684,87,0.500,0.705,-1.070,-1.019,-0.439,0.146,1.073,Whi
178.6046512,5.185,97,0.576,0.560,-1.070,-1.019,-0.439,0.357,-0.002,Whi
201.8181818,5.307,106,0.637,0.439,-1.070,-1.019,-0.439,0.547,0.126,Whi
139.6363636,4.939,113,0.609,0.352,-1.070,-1.019,-0.439,0.694,-0.485,Whi
121.1428571,4.797,117,0.315,0.295,-1.070,-1.019,-0.439,0.779,-0.358,Whi
324.2666667,5.782,127,-0.567,0.101,-1.070,-1.019,-0.439,0.990,-0.033,Whi
363.6363636,5.896,128,-0.640,0.077,-1.070,-1.019,-0.439,1.011,1.225,Whi
261.0526316,5.565,139,-1.449,-0.239,-1.070,-1.019,-0.439,1.243,1.035,Whi
117.0731707,4.763,145,-1.351,-0.426,-1.070,-1.019,-0.439,1.370,-1.050,Whi
168.4210526,5.126,147,-1.282,-0.482,-1.070,-1.019,-0.439,1.412,1.124,Whi
185.4545455,5.223,149,-1.213,-0.535,-1.070,-1.019,-0.439,1.454,0.297,Whi
183.4146341,5.212,153,-1.076,-0.634,-1.070,-1.019,-0.439,1.539,0.621,Whi
160,5.075,158,-0.939,-0.742,-1.070,-1.019,-0.439,1.644,1.874,Whi
108.2352941,4.684,1,0.477,0.750,-0.433,-1.019,-0.439,-1.670,-0.911,Zim
101.8181818,4.623,2,0.484,0.735,-0.433,-1.019,-0.439,-1.649,-0.180,Zim
91.1627907,4.513,10,0.545,0.616,-0.433,-1.019,-0.439,-1.480,-1.216,Zim
121.3793103,4.799,18,0.599,0.505,-0.433,-1.019,-0.439,-1.311,-1.050,Zim
164.5714286,5.103,30,0.609,0.352,-0.433,-1.019,-0.439,-1.058,-0.059,Zim
144.6575342,4.974,34,0.315,0.295,-0.433,-1.019,-0.439,-0.973,0.634,Zim
108.1081081,4.683,54,-1.302,-0.176,-0.433,-1.019,-0.439,-0.551,-0.097,Zim
97.62711864,4.581,59,-1.454,-0.336,-0.433,-1.019,-0.439,-0.445,0.590,Zim
170.3896104,5.138,63,-1.316,-0.454,-0.433,-1.019,-0.439,-0.361,-1.432,Zim
156.5957447,5.054,76,-0.905,-0.762,-0.433,-1.019,-0.439,-0.087,0.157,Zim
110.7692308,4.707,81,-0.733,-0.851,-0.433,-1.019,-0.439,0.019,-1.273,Zim
293.3333333,5.681,84,-0.630,-0.896,-0.433,-1.019,-0.439,0.082,-0.542,Zim
158.8321168,5.068,108,-0.850,-1.236,-0.433,-1.019,-0.439,0.589,-0.637,Zim
254.6666667,5.540,122,-1.017,-1.502,-0.433,-1.019,-0.439,0.884,1.524,Zim
227.9452055,5.429,128,-1.000,-1.589,-0.433,-1.019,-0.439,1.011,1.454,Zim
132.7407407,4.888,138,-0.975,-1.650,-0.433,-1.019,-0.439,1.222,0.729,Zim
108.4745763,4.687,0,1.241,1.201,-1.283,-1.019,-0.439,-1.691,-0.129,Pai
