Body size index,Age,Age,Early-mid gestation PreGC,PreGC throughout gestation,Early gestation PreGC,Mid gestation PreGC,Late gestation PreGC,Early-mid gestation FA,FA throughout gestation,nPostnatal FA,Maternal protectiveness,Maternal rejectiveness,nSocial play (% of time),Sex of the offspring,PostGC,Year of birth,Infant ID
334.427,30.727,-1.627,1.775,1.965,2.477,0.616,1.831,-1.625,-0.830,2.294,-0.105,2.250,-2.181,-1.029,-0.900,2.716,aug
390.210,55.154,-1.481,1.775,1.965,2.477,0.616,1.831,-1.625,-0.830,2.393,-0.105,2.250,-1.922,-1.029,-0.900,2.716,aug
465.602,81.000,-1.327,1.775,1.965,2.477,0.616,1.831,-1.625,-0.830,2.637,-0.105,2.250,-1.026,-1.029,-0.900,2.716,aug
675.121,116.588,-1.114,1.775,1.965,2.477,0.616,1.831,-1.625,-0.830,2.919,-0.105,2.250,0.110,-1.029,-0.900,2.716,aug
807.918,148.667,-0.923,1.775,1.965,2.477,0.616,1.831,-1.625,-0.830,2.902,-0.105,2.250,0.715,-1.029,-0.900,2.716,aug
750.874,176.000,-0.760,1.775,1.965,2.477,0.616,1.831,-1.625,-0.830,2.834,-0.105,2.250,2.671,-1.029,-0.900,2.716,aug
395.949,60.333,-1.450,0.238,0.281,0.364,0.061,0.333,1.196,1.192,-0.458,-1.475,0.188,-2.181,-1.029,0.786,-0.367,fin
493.441,97.000,-1.231,0.238,0.281,0.364,0.061,0.333,1.196,1.192,-0.609,-1.475,0.188,-0.662,-1.029,0.786,-0.367,fin
514.204,122.125,-1.081,0.238,0.281,0.364,0.061,0.333,1.196,1.192,-0.750,-1.475,0.188,-0.791,-1.029,0.786,-0.367,fin
703.625,146.000,-0.939,0.238,0.281,0.364,0.061,0.333,1.196,1.192,-0.821,-1.475,0.188,-0.780,-1.029,0.786,-0.367,fin
715.812,177.000,-0.754,0.238,0.281,0.364,0.061,0.333,1.196,1.192,-0.803,-1.475,0.188,0.081,-1.029,0.786,-0.367,fin
754.123,229.333,-0.442,0.238,0.281,0.364,0.061,0.333,1.196,1.192,-0.692,-1.475,0.188,0.636,-1.029,0.786,-0.367,fin
751.1812956,244.5,-0.351,0.238,0.281,0.364,0.061,0.333,1.196,1.192,-0.618,-1.475,0.188,0.468,-1.029,0.786,-0.367,fin
727.210596,301.3333333,-0.012,0.238,0.281,0.364,0.061,0.333,1.196,1.192,-0.494,-1.475,0.188,0.429,-1.029,0.786,-0.367,fin
891.3413147,344.25,0.244,0.238,0.281,0.364,0.061,0.333,1.196,1.192,-0.590,-1.475,0.188,0.614,-1.029,0.786,-0.367,fin
1021.327295,379.25,0.453,0.238,0.281,0.364,0.061,0.333,1.196,1.192,-0.490,-1.475,0.188,0.635,-1.029,0.786,-0.367,fin
1157.561917,407.5,0.621,0.238,0.281,0.364,0.061,0.333,1.196,1.192,-0.385,-1.475,0.188,0.733,-1.029,0.786,-0.367,fin
1147.549332,440.4615385,0.818,0.238,0.281,0.364,0.061,0.333,1.196,1.192,-0.276,-1.475,0.188,1.110,-1.029,0.786,-0.367,fin
893.8058838,467.8333333,0.981,0.238,0.281,0.364,0.061,0.333,1.196,1.192,-0.129,-1.475,0.188,1.263,-1.029,0.786,-0.367,fin
1246.380262,492,1.126,0.238,0.281,0.364,0.061,0.333,1.196,1.192,0.000,-1.475,0.188,1.249,-1.029,0.786,-0.367,fin
1424.986645,537,1.394,0.238,0.281,0.364,0.061,0.333,1.196,1.192,0.269,-1.475,0.188,1.343,-1.029,0.786,-0.367,fin
1455.471984,586.8461538,1.691,0.238,0.281,0.364,0.061,0.333,1.196,1.192,0.517,-1.475,0.188,1.326,-1.029,0.786,-0.367,fin
1641.655991,622,1.901,0.238,0.281,0.364,0.061,0.333,1.196,1.192,0.607,-1.475,0.188,1.215,-1.029,0.786,-0.367,fin
