Body size index,Age,Early-mid gestation PreGC,Early-mid gestation FA,nPostnatal FA,Maternal protectiveness,Maternal rejectiveness,nSocial play (% of time),Age,Sex of the offspring,PostGC,Infant ID
893.8058838,467.8333333,0.400,1.131,-1.449,-1.359,0.208,0.884,-1.039,-1.045,1.239,fin
1246.380262,492,0.400,1.131,-0.980,-1.359,0.208,0.868,-0.162,-1.045,1.239,fin
1424.986645,537,0.400,1.131,-0.004,-1.359,0.208,0.982,1.472,-1.045,1.239,fin
1197.256701,468.9230769,0.017,0.920,-1.219,1.060,-0.120,-0.373,-0.999,0.929,-0.705,gar
1370.040006,489,0.017,0.920,-0.835,1.060,-0.120,-0.482,-0.270,0.929,-0.705,gar
1398.073201,527,0.017,0.920,0.025,1.060,-0.120,-0.416,1.109,0.929,-0.705,gar
1154.665922,466.625,-0.287,0.920,-1.259,-0.110,-1.669,-0.962,-1.083,0.929,0.041,hop
1138.449349,489.3333333,-0.287,0.920,-0.835,-0.110,-1.669,-1.029,-0.258,0.929,0.041,hop
1261.679413,514,-0.287,0.920,-0.283,-0.110,-1.669,-0.888,0.637,0.929,0.041,hop
1601.045908,456,2.223,-1.104,0.015,-0.288,0.815,-0.691,-1.468,0.929,2.607,iri
1462.508847,492,2.223,-1.104,0.887,-0.288,0.815,-0.527,-0.162,0.929,2.607,iri
1563.241183,524.6666667,2.223,-1.104,1.419,-0.288,0.815,-0.320,1.024,0.929,2.607,iri
1284.148969,476.4,0.260,-1.448,1.042,-0.179,0.677,1.509,-0.728,-1.045,-0.630,kim
1228.855809,500,0.260,-1.448,1.463,-0.179,0.677,2.125,0.129,-1.045,-0.630,kim
1323.980497,523.8333333,0.260,-1.448,1.761,-0.179,0.677,2.291,0.994,-1.045,-0.630,kim
1074.042446,460.1666667,-2.215,1.469,-1.995,-1.708,-1.544,-0.359,-1.317,0.929,-0.964,mii
1036.504046,493.2857143,-2.215,1.469,-1.373,-1.708,-1.544,-0.582,-0.115,0.929,-0.964,mii
1201.257586,542,-2.215,1.469,-0.402,-1.708,-1.544,-0.675,1.653,0.929,-0.964,mii
1182.805426,488,-0.188,-0.633,0.248,0.167,0.247,1.999,-0.307,-1.045,-0.392,ngo
1215.442092,536.2727273,-0.188,-0.633,1.179,0.167,0.247,2.071,1.445,-1.045,-0.392,ngo
1288.710649,464,0.486,-0.947,-0.006,2.121,-1.368,-0.414,-1.178,-1.045,-0.290,oxy
1455.298384,499.4,0.486,-0.947,0.831,2.121,-1.368,0.131,0.107,-1.045,-0.290,oxy
1596.660461,536,0.486,-0.947,1.410,2.121,-1.368,0.527,1.436,-1.045,-0.290,oxy
1449.442136,460.5,0.337,-0.992,-0.019,-0.281,0.815,-0.447,-1.305,0.929,-0.511,ozo
1446.936931,497,0.337,-0.992,0.847,-0.281,0.815,-0.313,0.020,0.929,-0.511,ozo
1680.34118,534,0.337,-0.992,1.427,-0.281,0.815,-0.265,1.363,0.929,-0.511,ozo
1080.152129,457,-0.516,0.046,-0.959,0.624,1.338,-1.012,-1.432,-1.045,-0.352,sin
1140.492108,491,-0.516,0.046,-0.214,0.624,1.338,-1.011,-0.198,-1.045,-0.352,sin
1215.177424,526,-0.516,0.046,0.595,0.624,1.338,-0.832,1.073,-1.045,-0.352,sin
1334.930154,461.8,-0.332,-0.090,-0.787,0.034,0.459,-0.661,-1.258,0.929,0.215,tao
1369.733427,488,-0.332,-0.090,-0.196,0.034,0.459,-0.692,-0.307,0.929,0.215,tao
1320.694317,523.2857143,-0.332,-0.090,0.617,0.034,0.459,-0.705,0.974,0.929,0.215,tao
1174.300395,475,-0.371,0.773,-0.997,-0.037,0.334,-0.021,-0.779,-1.045,-0.583,yin
1422.604376,522,-0.371,0.773,0.043,-0.037,0.334,0.291,0.927,-1.045,-0.583,yin
