Proportion of days with signs of conjunctivitis,Number of  sampling days,Early-mid gestation PreGC,Early-mid gestation FA,,,,,,,,,
,,z-transformed,z-transformed,,,,,,,,,
0.476190476,21,0.414,1.110,,,,,,,,,
0.136363636,22,0.275,-1.430,,,,,,,,,
0.346153846,26,-0.172,-0.628,,,,,,,,,
0.72,25,0.500,-0.936,,,,,,,,,
0.333333333,24,-0.499,0.042,,,,,,,,,
0.043478261,23,-0.354,0.758,,,,,,,,,
0.181818182,22,0.033,0.903,,,,,,,,,
0.095238095,21,-0.271,0.903,,,,,,,,,
0.695652174,23,2.233,-1.091,,,,,,,,,
0.136363636,22,-2.194,1.443,,,,,,,,,
0.095238095,21,0.351,-0.981,,,,,,,,,
0.043478261,23,-0.316,-0.092,,,,,,,,,
