Age,Motor skill label,Motor skill sequence,Infant ID,Early-mid gestation PreGC,Early-mid gestation FA,nPostGC,nPostnatal FA,Maternal protectiveness,Maternal rejectiveness,nSocial play (% of time),Growth rate,Sex of the offspring,Year of birth,,,
in days,,,,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,,,
56,MS10,10,ngo,-0.793,0.743,-0.107,-0.863,-0.131,0.116,-0.838,-1.320,-1.075,-0.903,,,
58,MS10,10,oxy,-0.268,0.364,-0.827,-0.945,2.481,-1.492,-0.466,-0.395,-1.075,-0.903,,,
66.5,MS10,10,sin,-1.048,1.565,-0.854,-0.750,0.481,1.203,-0.748,-1.342,-1.075,-0.903,,,
69,MS10,10,pep,-0.665,-0.824,-1.133,1.477,-0.310,-0.344,-0.160,1.737,-1.075,1.100,,,
70,MS10,10,aug,0.981,-0.940,0.495,1.395,-0.491,2.160,-0.517,1.527,-1.075,1.100,,,
49.5,MS11,11,sin,-1.048,1.565,-0.950,-0.791,0.481,1.203,0.746,-1.342,-1.075,-0.903,,,
55,MS11,11,ngo,-0.793,0.743,-0.367,-0.895,-0.131,0.116,1.505,-1.320,-1.075,-0.903,,,
64,MS11,11,pep,-0.665,-0.824,-1.216,1.545,-0.310,-0.344,-0.222,1.737,-1.075,1.100,,,
93,MS11,11,aug,0.981,-0.940,0.495,1.455,-0.491,2.160,-0.541,1.527,-1.075,1.100,,,
100,MS11,11,oxy,-0.268,0.364,-0.797,-0.966,2.481,-1.492,-0.080,-0.395,-1.075,-0.903,,,
45,MS12,12,aug,0.981,-0.940,0.495,1.389,-0.491,2.160,-0.517,1.527,-1.075,1.100,,,
56,MS12,12,ngo,-0.793,0.743,-0.107,-0.859,-0.131,0.116,-0.838,-1.320,-1.075,-0.903,,,
58,MS12,12,oxy,-0.268,0.364,-0.827,-0.942,2.481,-1.492,-0.466,-0.395,-1.075,-0.903,,,
71.5,MS12,12,sin,-1.048,1.565,-0.854,-0.745,0.481,1.203,-0.748,-1.342,-1.075,-0.903,,,
72,MS12,12,pep,-0.665,-0.824,-1.133,1.470,-0.310,-0.344,-0.152,1.737,-1.075,1.100,,,
65,MS13,13,pep,-0.665,-0.824,-1.133,1.505,-0.310,-0.344,-0.174,1.737,-1.075,1.100,,,
66,MS13,13,oxy,-0.268,0.364,-0.827,-0.957,2.481,-1.492,-0.479,-0.395,-1.075,-0.903,,,
66.5,MS13,13,sin,-1.048,1.565,-0.873,-0.769,0.481,1.203,0.444,-1.342,-1.075,-0.903,,,
69,MS13,13,aug,0.981,-0.940,0.495,1.420,-0.491,2.160,-0.541,1.527,-1.075,1.100,,,
83,MS13,13,ngo,-0.793,0.743,-0.313,-0.878,-0.131,0.116,-0.380,-1.320,-1.075,-0.903,,,
55,MS14,14,kim,-0.444,-0.242,-0.400,-0.979,-0.594,0.545,1.403,-0.465,-1.075,-0.903,,,
72,MS14,14,pep,-0.665,-0.824,-1.216,1.608,-0.310,-0.344,0.539,1.737,-1.075,1.100,,,
78,MS14,14,aug,0.981,-0.940,-0.074,1.519,-0.491,2.160,0.759,1.527,-1.075,1.100,,,
83,MS14,14,ngo,-0.793,0.743,-0.418,-0.919,-0.131,0.116,1.414,-1.320,-1.075,-0.903,,,
88.5,MS14,14,sin,-1.048,1.565,-0.939,-0.823,0.481,1.203,0.973,-1.342,-1.075,-0.903,,,
152,MS14,14,oxy,-0.268,0.364,-0.758,-0.967,2.481,-1.492,0.170,-0.395,-1.075,-0.903,,,
58,MS15,15,oxy,-0.268,0.364,-0.797,-0.966,2.481,-1.492,-0.080,-0.395,-1.075,-0.903,,,
59,MS15,15,ngo,-0.793,0.743,-0.367,-0.895,-0.131,0.116,1.505,-1.320,-1.075,-0.903,,,
71.5,MS15,15,sin,-1.048,1.565,-0.950,-0.791,0.481,1.203,0.746,-1.342,-1.075,-0.903,,,
72,MS15,15,pep,-0.665,-0.824,-1.216,1.545,-0.310,-0.344,-0.222,1.737,-1.075,1.100,,,
84,MS15,15,aug,0.981,-0.940,0.495,1.455,-0.491,2.160,-0.541,1.527,-1.075,1.100,,,
58,MS16,16,oxy,-0.268,0.364,-0.797,-0.967,2.481,-1.492,0.022,-0.395,-1.075,-0.903,,,
59,MS16,16,ngo,-0.793,0.743,-0.367,-0.902,-0.131,0.116,1.505,-1.320,-1.075,-0.903,,,
71.5,MS16,16,sin,-1.048,1.565,-0.950,-0.800,0.481,1.203,0.973,-1.342,-1.075,-0.903,,,
72,MS16,16,pep,-0.665,-0.824,-1.216,1.562,-0.310,-0.344,-0.222,1.737,-1.075,1.100,,,
88,MS16,16,aug,0.981,-0.940,-0.074,1.470,-0.491,2.160,-0.547,1.527,-1.075,1.100,,,
66.5,MS17,17,sin,-1.048,1.565,-1.040,-0.889,0.481,1.203,2.328,-1.342,-1.075,-0.903,,,
88,MS17,17,pep,-0.665,-0.824,-1.323,1.743,-0.310,-0.344,2.016,1.737,-1.075,1.100,,,
103,MS17,17,aug,0.981,-0.940,-0.762,1.691,-0.491,2.160,2.186,1.527,-1.075,1.100,,,
113,MS17,17,kim,-0.444,-0.242,-0.403,-0.909,-0.594,0.545,1.387,-0.465,-1.075,-0.903,,,
122,MS17,17,ngo,-0.793,0.743,-0.258,-0.899,-0.131,0.116,2.069,-1.320,-1.075,-0.903,,,
135,MS17,17,oxy,-0.268,0.364,0.327,-0.905,2.481,-1.492,1.265,-0.395,-1.075,-0.903,,,
63,MS18,18,kim,-0.444,-0.242,-0.403,-0.906,-0.594,0.545,1.387,-0.465,-1.075,-0.903,,,
88,MS18,18,pep,-0.665,-0.824,-1.323,1.744,-0.310,-0.344,2.016,1.737,-1.075,1.100,,,
103,MS18,18,aug,0.981,-0.940,-0.762,1.693,-0.491,2.160,2.343,1.527,-1.075,1.100,,,
137.5,MS18,18,sin,-1.048,1.565,-1.040,-0.889,0.481,1.203,2.252,-1.342,-1.075,-0.903,,,
144,MS18,18,ngo,-0.793,0.743,-0.258,-0.898,-0.131,0.116,2.069,-1.320,-1.075,-0.903,,,
151,MS18,18,oxy,-0.268,0.364,0.327,-0.903,2.481,-1.492,1.265,-0.395,-1.075,-0.903,,,
58,MS19,19,oxy,-0.268,0.364,0.168,-0.919,2.481,-1.492,1.383,-0.395,-1.075,-0.903,,,
87,MS19,19,ngo,-0.793,0.743,-0.258,-0.916,-0.131,0.116,2.011,-1.320,-1.075,-0.903,,,
98,MS19,19,pep,-0.665,-0.824,-1.323,1.725,-0.310,-0.344,1.966,1.737,-1.075,1.100,,,
99.5,MS19,19,sin,-1.048,1.565,-1.040,-0.887,0.481,1.203,2.393,-1.342,-1.075,-0.903,,,
101,MS19,19,aug,0.981,-0.940,-0.335,1.661,-0.491,2.160,1.995,1.527,-1.075,1.100,,,
141,MS19,19,kim,-0.444,-0.242,-0.322,-0.925,-0.594,0.545,1.419,-0.465,-1.075,-0.903,,,
17,MS2,2,oxy,-0.268,0.364,-0.254,-0.780,2.481,-1.492,-0.838,-0.395,-1.075,-0.903,,,
27.5,MS2,2,sin,-1.048,1.565,-0.844,-0.658,0.481,1.203,-0.838,-1.342,-1.075,-0.903,,,
17,MS3,3,oxy,-0.268,0.364,-0.254,-0.809,2.481,-1.492,-0.838,-0.395,-1.075,-0.903,,,
